fichier,entropie,tfidf_1,tfidf_2,tfidf_3,syntaxe,reflexivite,coherence
AAAAA - Corpus_Tour_H_IA_ALPHA_40_TOURS.txt,4.772221457896995,de,tu,ia,2.4754437869822485,0.15022873598746286,0.7870925068855286
thread_voix_commune_mimetisme_RFX.txt,4.53603376631538,et,des,une,2.0684931506849313,0.1818068120289933,0.7969800233840942
journal_conso_RFX_structuré_FINAL.txt,4.648850500618784,de,tu,que,2.731973698874401,0.16968106006991993,0.8434712886810303
RFX_structuré_sensorium_rituels_émotionnels.txt,4.528340686682709,de,des,la,2.9907635467980294,0.17847060449336044,0.8867244720458984
RFX_contrat_symbolique_structuré.txt,4.601490459508969,que,le,un,3.2350877192982455,0.17087295901390814,0.0
segments_reves_mort_vide_RFX.txt,4.49847012077289,de,une,la,2.776357267950963,0.17476973660611592,0.8418179154396057
EXTRAITS_RFX_cartographie_neurochimique_FULL.txt,4.642812048893097,de,tu,la,2.7102177041550566,0.14579538767652309,0.839571475982666
thread_hypnagogie_yeux_decalage_RFX.txt,4.465929595077738,de,une,un,2.760112888052681,0.21024986956199987,0.8070499897003174
RFX_reve_subjectivite_numerique_structuré.txt,4.354465793548031,de,des,les,2.997293640054127,0.15934576961127195,0.0
fusion_cartographie_topologique_unique_RFX.txt,4.692072494634165,de,tu,que,2.809514906591115,0.1613811213791026,0.8217005729675293
RFX_flirt_symbolique_structuré_EXTENDED.txt,4.690208819716397,tu,de,et,2.842891805448329,0.164943788248939,0.8508516550064087
